title,company,location,link
DBA 엔지니어,쏘카,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=609e248684d02ecf
[TmaxAI/R&D] AI본부 R&D 개발 연구원 신입/경력 (병역특례포함),티맥스소프트,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c29a165fe861f7cb
데이터 엔지니어(신입/경력),쏘카,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9d54ef61dc825d49
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ce6747e77c861c46
"Counter Intelligence and HUMINT Operations Analyst, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c3d7487ed86d9cbe
Quant 트레이딩 부문,벨에포크자산운용,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e617a8ed7934773
Infra사업본부 Bigdata 프로젝트 개발자 件,SK 네트웍스서비스,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2cff377c899798fc
"Field Application Engineer, Korea",Arteris,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1b06cec85f4b58e8
[전문연구요원] 상시 (전직),네이버랩스,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=14b591547a3b9df5
Junior Data Scientist,MSD,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=70b04d34ec7f6078
Senior Design Consultant,Synopsys,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7e9a745cd8bdcbe3
[정보보안] 보안분석 플랫폼 개발 및 운영 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2a094ace2f8604a7
